App_Name,SDK_Build_Version,Main_Class,Main_Activity,Has_Ads,Hash_SHA_256,Advertising_Classes,Genre,File_Size_In_MB,Suspicous,Able_To_Instrument,Able_To_Install,Signed_Location,Try_Manual_Testing
d5e6ebb9c640a6c2c9bf64c4e6d61d046c9abe45b3b6661b4fd670385f53e4e4.apk,33.0,com.autolist.autolist,com.autolist.autolist.searchresults.SrpActivity,Yes,d5e6ebb9c640a6c2c9bf64c4e6d61d046c9abe45b3b6661b4fd670385f53e4e4,"['y5.p1.jimple', 'androidx.appcompat.widget.k.jimple', 'com.autolist.autolist.mygarage.viewuservehicle.UserVehicleView.jimple', 'b6.m.jimple', 'com.autolist.autolist.ads.AutolistAd$buildAdListener$1.jimple', 'com.autolist.autolist.vdp.imagegallery.ImageGalleryAdapter.jimple', 'b6.i.jimple', 'com.autolist.autolist.fragments.VdpFragment.jimple', 'b6.o.jimple', 'com.pubmatic.sdk.openwrap.banner.b.jimple']","['FAMILY', ' AUTO_AND_VEHICLES']",18,True,No,Yes,../Data/Application_Analysis/d5e6ebb9c640a6c2c9bf64c4e6d61d046c9abe45b3b6661b4fd670385f53e4e4.apk/signedd5e6ebb9c640a6c2c9bf64c4e6d61d046c9abe45b3b6661b4fd670385f53e4e4.apk,
38589b4695d96465c413d4da9436bb0bd4bd2f828e6fe93d2c41f629b7d1791e.apk,33.0,com.okcupid.okcupid,,Yes,38589b4695d96465c413d4da9436bb0bd4bd2f828e6fe93d2c41f629b7d1791e,"['com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper$loadAd$customFormatCallbacks$1.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper.jimple', 'com.okcupid.okcupid.ui.doubletake.DoubleTakeViewModel.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper$loadAd$1$2.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader.jimple']","['FAMILY', ' DATING']",58,True,No,Yes,../Data/Application_Analysis/38589b4695d96465c413d4da9436bb0bd4bd2f828e6fe93d2c41f629b7d1791e.apk/signed38589b4695d96465c413d4da9436bb0bd4bd2f828e6fe93d2c41f629b7d1791e.apk,
abf86ca642dd75bff1f9df756cccf851cea157a438157816c0ad665a79f5d26c.apk,31.0,com.contentsfirst.tappytoon,com.contentsfirst.tappytoon.MainActivity,Yes,abf86ca642dd75bff1f9df756cccf851cea157a438157816c0ad665a79f5d26c,"['com.unity3d.scar.adapter.v2000.scarads.ScarInterstitialAd.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarInterstitialAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarAdBase.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarAdBase.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarRewardedAdListener$1.jimple', 'com.ironsource.adapters.admob.AdMobInterstitialAdLoadListener.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarAdBase.jimple', 'com.ironsource.adapters.admob.AdMobAdapter$6.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarRewardedAdListener$1.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarInterstitialAd.jimple', 'com.vungle.warren.Vungle.jimple', 'com.vungle.warren.AdLoader$5$3.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarAdBase.jimple', 'com.ironsource.adapters.admob.AdMobBannerAdListener.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarRewardedAdListener$1.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarRewardedAdListener$1.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarInterstitialAd.jimple', 'com.ironsource.adapters.admob.AdMobAdapter.jimple', 'com.ironsource.adapters.admob.AdMobRewardedVideoAdLoadListener.jimple', 'com.tapjoy.TapjoyGpsHelper.jimple', 'com.vungle.warren.AdLoader.jimple']","['FAMILY', ' COMICS']",22,True,No,Yes,../Data/Application_Analysis/abf86ca642dd75bff1f9df756cccf851cea157a438157816c0ad665a79f5d26c.apk/signedabf86ca642dd75bff1f9df756cccf851cea157a438157816c0ad665a79f5d26c.apk,
f45949e07bc66c6a5a345250b0da89a382ae7bf4ff1db26c923a99df25359ef7.apk,31.0,com.crowdstar.covetHome,com.crowdstar.home.AndroidInterface.NanigansWrapper,Yes,f45949e07bc66c6a5a345250b0da89a382ae7bf4ff1db26c923a99df25359ef7,"['com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarInterstitialAd.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$6.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarInterstitialAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarRewardedAd.jimple', 'com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter$5.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarAdBase.jimple', 'com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter$AdViewListener.jimple', 'com.fyber.inneractive.sdk.dv.interstitial.b$a.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarAdBase.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarInterstitialAdListener$1.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarRewardedAdListener$1.jimple', 'com.fyber.inneractive.sdk.dv.banner.a.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$4.jimple', 'com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter$1.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$5.jimple', 'com.ironsource.adapters.admob.AdMobInterstitialAdLoadListener.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarAdBase.jimple', 'com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter$3.jimple', 'com.ironsource.adapters.admob.AdMobAdapter$6.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarRewardedAdListener$1.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarInterstitialAd.jimple', 'com.vungle.warren.Vungle.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter.jimple', 'com.vungle.warren.AdLoader$5$3.jimple', 'com.fyber.inneractive.sdk.dv.interstitial.c$a.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarInterstitialAdListener$1.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$8.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarAdBase.jimple', 'com.ironsource.adapters.admob.AdMobBannerAdListener.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarRewardedAdListener$1.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$AdViewListener.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$3.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarRewardedAdListener$1.jimple', 'com.fyber.inneractive.sdk.dv.interstitial.c.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarInterstitialAd.jimple', 'com.ironsource.adapters.admob.AdMobAdapter.jimple', 'com.ironsource.adapters.admob.AdMobRewardedVideoAdLoadListener.jimple', 'com.tapjoy.TapjoyGpsHelper.jimple', 'com.vungle.warren.AdLoader.jimple', 'com.fyber.inneractive.sdk.dv.rewarded.b.jimple', 'com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter$2.jimple', 'com.fyber.inneractive.sdk.dv.rewarded.a$a.jimple', 'com.fyber.inneractive.sdk.dv.banner.a$a.jimple']","['FAMILY', ' GAME_SIMULATION', ' GAME_CASUAL']",132,True,No,Yes,../Data/Application_Analysis/f45949e07bc66c6a5a345250b0da89a382ae7bf4ff1db26c923a99df25359ef7.apk/signedf45949e07bc66c6a5a345250b0da89a382ae7bf4ff1db26c923a99df25359ef7.apk,
9ccf78d18f17eab959b73d275e71487fe79d1228dfba12a1b4dbee8e340153fe.apk,31.0,com.wunderground.android.weather,com.wunderground.android.weather.ui.splash.WeatherHomeActivity,Yes,9ccf78d18f17eab959b73d275e71487fe79d1228dfba12a1b4dbee8e340153fe,"['com.wunderground.android.weather.ui.-$$Lambda$AdsUiController$4cMMoOi4QIVaEZH3M59iDWgIu_Y.jimple', 'com.wunderground.android.weather.ui.home.-$$Lambda$AdsCardItemViewHolder$6_oGPNf1Af0wF7yFVq11hKPD9Zo.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$NativeAdLoader$mDgbMAi9XCGyRVvuqjENuNiBS-w.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$NativeAdLoader$A2v_ZL7sQpvk9drYvypV4pT6g8w.jimple', 'com.wunderground.android.weather.ui.home.AdsCardItemViewHolder.jimple', 'com.wunderground.android.weather.ui.home.HomeScreenActivity.jimple', 'com.mopub.mobileads.dfp.adapters.MoPubAdapter$mMediationInterstitialListener.jimple', 'com.wunderground.android.weather.ui.home.-$$Lambda$AdsCardItemViewHolder$JZbrk5LC9sR-hlTHS3Sys9gIW8A.jimple', 'com.mopub.mobileads.dfp.adapters.MoPubAdapter.jimple', 'com.wunderground.android.weather.ads.refresh.NativeAdLoader.jimple', 'com.wunderground.android.weather.ui.builder.SmartForecastBuilderActivity.jimple', 'com.wunderground.android.weather.ui.home.-$$Lambda$AdsCardItemViewHolder$cpxpgVwTFO7E-Fet1lmnOWzJmws.jimple', 'com.mopub.mobileads.dfp.adapters.MoPubAdapter$MBannerListener.jimple', 'com.wunderground.android.weather.ads.refresh.BannerAdLoader.jimple', 'com.wunderground.android.weather.ads.refresh.AmazonDataLoader.jimple', 'com.wunderground.android.weather.ui.AdsUiController.jimple', 'com.mopub.mobileads.dfp.adapters.MoPubAdapter$1$1.jimple', 'com.amazon.device.ads.DTBAdRequest.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$NativeAdLoader$_-WNlBtrXfvwHEJPcCgYFjzXNNA.jimple', 'com.wunderground.android.weather.ads.refresh.BannerAdLoader$1.jimple', 'com.wunderground.android.weather.ui.home.HomeScreenPresenter.jimple']","['FAMILY', ' WEATHER']",55,True,No,Yes,../Data/Application_Analysis/9ccf78d18f17eab959b73d275e71487fe79d1228dfba12a1b4dbee8e340153fe.apk/signed9ccf78d18f17eab959b73d275e71487fe79d1228dfba12a1b4dbee8e340153fe.apk,
7279d408e617c7e9eea64a15a25b754687ca882d00b65309e716f1b99785184a.apk,33.0,com.logos.androidlogos,md56ab619a8c39531950374b1258c5efd44.SplashScreen,Yes,7279d408e617c7e9eea64a15a25b754687ca882d00b65309e716f1b99785184a,"['com.logos.commonlogos.library.resources.view.LibraryFragmentBase.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment.jimple']","['FAMILY', ' BOOKS_AND_REFERENCE']",76,True,No,Yes,../Data/Application_Analysis/7279d408e617c7e9eea64a15a25b754687ca882d00b65309e716f1b99785184a.apk/signed7279d408e617c7e9eea64a15a25b754687ca882d00b65309e716f1b99785184a.apk,
6e5ba47c50486f34fa1b8070e89a8f99194f97a5b97b64eca3ecfbed8724c539.apk,33.0,com.zillow.android.zillowmap,com.zillow.android.re.ui.SplashScreenActivity,Yes,6e5ba47c50486f34fa1b8070e89a8f99194f97a5b97b64eca3ecfbed8724c539,"['com.zillow.android.re.ui.homesmapscreen.viewmodel.HomeUpdateViewModel.jimple', 'com.zillow.android.re.ui.homes.HomesListAdapter.jimple', 'io.radar.sdk.RadarUtils.jimple', 'com.zillow.android.feature.ads.view.DFPAdBase.jimple']","['FAMILY', ' HOUSE_AND_HOME']",97,True,No,Yes,../Data/Application_Analysis/6e5ba47c50486f34fa1b8070e89a8f99194f97a5b97b64eca3ecfbed8724c539.apk/signed6e5ba47c50486f34fa1b8070e89a8f99194f97a5b97b64eca3ecfbed8724c539.apk,
15efb6f40b69f3fc9c53c94dca8198f4707e1a6366be8cf141d90060c599f756.apk,33.0,com.pcmehanik.smarttoolbox,com.pcmehanik.smarttoolsutilities.MainActivity,Yes,15efb6f40b69f3fc9c53c94dca8198f4707e1a6366be8cf141d90060c599f756,"['e1.b.jimple', 'g1.v.jimple', 'f1.c$d.jimple', 'f1.c.jimple', 'n1.a3.jimple', 'f1.b.jimple', 'f1.a.jimple']","['FAMILY', ' TOOLS']",7,True,No,No,,
5b4f30ffb919927f5d66297571fb43fd2e3fa8991677d736a65639b792c47607.apk,33.0,com.pof.android,com.pof.android.core.intentrouting.IntentRoutingActivity,Yes,5b4f30ffb919927f5d66297571fb43fd2e3fa8991677d736a65639b792c47607,"['com.pof.android.ads.BannerAdHelper$1.jimple', 'com.pof.android.ads.adsnative.data.GoogleNativeAdRemoteDataSource.jimple', 'com.pof.android.ads.GoogleAdListenerAdapter.jimple', 'com.pof.android.ads.BannerAdHelper.jimple', 'com.pof.android.ads.interstitial.adprovider.impl.GoogleAdProvider$1.jimple']","['FAMILY', ' SOCIAL']",200,True,No,Yes,../Data/Application_Analysis/5b4f30ffb919927f5d66297571fb43fd2e3fa8991677d736a65639b792c47607.apk/signed5b4f30ffb919927f5d66297571fb43fd2e3fa8991677d736a65639b792c47607.apk,
58fabeeb12709d59771e982dc385c65d7dd203ec185e8e54645c9c7ac1cd3368.apk,33.0,com.hily.app,com.hily.app.presentation.ui.activities.splash.SplashActivity,Yes,58fabeeb12709d59771e982dc385c65d7dd203ec185e8e54645c9c7ac1cd3368,"['com.applovin.mediation.adapters.GoogleMediationAdapter$6.jimple', 'com.hily.app.main.MainActivity.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$4.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$5.jimple', 'com.hily.app.feature.streams.LiveStreamActivity.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$8.jimple', 'com.hily.app.main.MainViewModel$loadAdsSettings$1$onSuccess$1$parser$1.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$AdViewListener.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter$3.jimple', 'com.hily.app.presentation.ui.fragments.dialog.DialogV2Fragment$subscribeUi$8.jimple']","['FAMILY', ' DATING']",82,True,No,Yes,../Data/Application_Analysis/58fabeeb12709d59771e982dc385c65d7dd203ec185e8e54645c9c7ac1cd3368.apk/signed58fabeeb12709d59771e982dc385c65d7dd203ec185e8e54645c9c7ac1cd3368.apk,
