App_Name,App_Hash,Results,VirusTotal Label,File_Size,Package,SDKVersion,Genre,User_Installs,Number_Of_Reviews,Score,Has_Ads,Developer,URL
Roblox_2.568.524_Apkpure,211d393be9ac61a7337c1002ba238c3e50186fff9723d808ee8744cab3cf15e2,0,,152.03860664367676,com.roblox.client,21,Adventure,"1,000,000,000+",3384971,4.4367294,False,Roblox Corporation,https://play.google.com/store/apps/details?id=com.roblox.client&hl=en&gl=us
AudiomackMusicDownloader6.25.4Apkpure,a070a78a18adc558d7f3a279a12d3f44a6012fe1cbe7db83aa04dd24a66d261d,0,,38.10438919067383,com.audiomack,21,Music & Audio,"100,000,000+",185174,4.756131,True,Audiomack Music Apps,https://play.google.com/store/apps/details?id=com.audiomack&hl=en&gl=us
GooglePaySaveandPay181.1.3arm64-v8areleaseflutterApkpure,9b340d434ced1bd5687a8c6d2f77c34480b382b2ee9383100af0fcc84aaa0e5d,0,,55.03916263580322,com.google.android.apps.nbu.paisa.user,21,Finance,"1,000,000,000+",22428,4.0128927,False,Google LLC,https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user&hl=en&gl=us
GoogleTranslate7.6.30.538653321.1-releaseApkpure,4196f5123fe29fde6116d767f2286303d9526b5e161fd5ada69a699233894e4e,0,,31.602927207946777,com.google.android.apps.translate,26,Tools,"1,000,000,000+",186171,4.157485,False,Google LLC,https://play.google.com/store/apps/details?id=com.google.android.apps.translate&hl=en&gl=us
WebComics-WebtoonManga3.1.91Apkpure,20348887e8a6f898b828e06c97f2515afbaa55ebd4dab550d81309d27eb75f7c,0,,31.551833152770996,com.webcomics.manga,19,Comics,"10,000,000+",25288,4.2444406,True,WEBCOMICS HOLDINGS HK LIMITED,https://play.google.com/store/apps/details?id=com.webcomics.manga&hl=en&gl=us
YouCamMakeup-SelfieEditor6.10.1Apkpure,3d048d40c9bb5f536acb6395350502b31eede8a24966b1ce1c04cc189106d14e,0,,111.42632865905762,com.cyberlink.youcammakeup,24,Photography,"100,000,000+",90492,4.3291626,True,Perfect Mobile Corp. Photo & Video Beauty Editor,https://play.google.com/store/apps/details?id=com.cyberlink.youcammakeup&hl=en&gl=us
LaneLibrariesMobileApp2022.1.6Apkpure,c5ab82199785347510edfd8c824183b9efb2c5fa6eb9a798e3413fab03f7cb34,0,,7.664790153503418,us.sol.LaneLibraries,22,Lifestyle,"1,000+",2,4.7777777,False,Solus UK Ltd,https://play.google.com/store/apps/details?id=us.sol.LaneLibraries&hl=en&gl=us
Turo-Findyourdrive23.23.2Apkpure,954ac13f9995dbc4c694a43fe73b7baa347026440afe04de7f1cdf5b1df7d46f,0,,43.872915267944336,com.relayrides.android.relayrides,24,Travel & Local,"10,000,000+",54660,4.893449,False,Turo Inc.,https://play.google.com/store/apps/details?id=com.relayrides.android.relayrides&hl=en&gl=us
BooksyforCustomers2.10.2354Apkpure,5ec3556eb8efd7f46f5e4cd397d4dea0fac560d0ac57b924f86d36a8c59f515d,0,,23.952011108398438,net.booksy.customer,21,Beauty,"10,000,000+",18330,4.9060435,False,Booksy International sp. z o.o.,https://play.google.com/store/apps/details?id=net.booksy.customer&hl=en&gl=us
Starfall3.1.66Apkpure,906cd442ad059cb2529dfac57e672dcf63bc04b96b0d70da6df1c66a94e19709,0,,74.53794002532959,air.com.starfall.more,19,Education,"5,000,000+",5972,4.0784616,False,Starfall Education Foundation,https://play.google.com/store/apps/details?id=air.com.starfall.more&hl=en&gl=us
