App_Name,SDK_Build_Version,Main_Class,Main_Activity,Has_Ads,Hash_SHA_256,Advertising_Classes,Genre,File_Size_In_MB,Suspicous,Able_To_Instrument,Able_To_Install,Signed_Location,Try_Manual_Testing
1C4A01582AE49DF4C892F585386B6ED0FFB6F6489F4C428634A54958578B6892.apk,33.0,com.cazaayan.bse.mobile,com.cazaayan.bse.mobile.MainActivity,Yes,1c4a01582ae49df4c892f585386b6ed0ffb6f6489f4c428634a54958578b6892,[],"['FAMILY', ' FINANCE']",14,False,No,Yes,../Data/Application_Analysis/1C4A01582AE49DF4C892F585386B6ED0FFB6F6489F4C428634A54958578B6892.apk/signed1C4A01582AE49DF4C892F585386B6ED0FFB6F6489F4C428634A54958578B6892.apk,
2466BBC72F8EE6836ECD22770FE65DCAE5C335F81B6F78C11D4DF38C449B96DB.apk,26.0,com.kwai.video,com.yxcorp.gifshow.HomeActivity,Yes,2466bbc72f8ee6836ecd22770fe65dcae5c335f81b6f78c11d4df38c449b96db,[],"['FAMILY', ' VIDEO_PLAYERS']",29,False,No,No,,
05B2499AB58C66C3EB6FB1098B79EB29521FEC658ACCF92E87BA13F01590FE42.apk,31.0,com.fnjiasu,com.fnjiasu.activity.SplashActivity,Yes,05b2499ab58c66c3eb6fb1098b79eb29521fec658accf92e87ba13f01590fe42,[],"['FAMILY', ' TOOLS']",18,False,No,Yes,../Data/Application_Analysis/05B2499AB58C66C3EB6FB1098B79EB29521FEC658ACCF92E87BA13F01590FE42.apk/signed05B2499AB58C66C3EB6FB1098B79EB29521FEC658ACCF92E87BA13F01590FE42.apk,
07F006DC007E55DF653CFAA46FB90BC9B94E337E625FA660E9999984E1EF26BA.apk,31.0,com.economics168,com.economics168.ui.StartActivity,Yes,07f006dc007e55df653cfaa46fb90bc9b94e337e625fa660e9999984e1ef26ba,[],"['FAMILY', ' NEWS_AND_MAGAZINES']",90,False,No,No,,
2540B571F900A4BA90FFF2EA7526015C7E49E3CD6AC050D684C46A34F3BE3A10.apk,33.0,com.lomolsoft.language.learnthai,com.lomolsoft.language.learnthai.activity.WelActivity,Yes,2540b571f900a4ba90fff2ea7526015c7e49e3cd6ac050d684c46a34f3be3a10,[],"['FAMILY', ' EDUCATION']",63,False,No,Yes,../Data/Application_Analysis/2540B571F900A4BA90FFF2EA7526015C7E49E3CD6AC050D684C46A34F3BE3A10.apk/signed2540B571F900A4BA90FFF2EA7526015C7E49E3CD6AC050D684C46A34F3BE3A10.apk,
2BD6A9A975D6DDB322104A35181AB018D2DA45F9FF2C09AE40C4598C985FA43B.apk,31.0,com.kmdc.singdownloaderforsmule,com.kmdc.singdownloaderforsmule.main,Yes,2bd6a9a975d6ddb322104a35181ab018d2da45f9ff2c09ae40c4598c985fa43b,[],"['FAMILY', ' MUSIC_AND_AUDIO']",12,False,No,Yes,../Data/Application_Analysis/2BD6A9A975D6DDB322104A35181AB018D2DA45F9FF2C09AE40C4598C985FA43B.apk/signed2BD6A9A975D6DDB322104A35181AB018D2DA45F9FF2C09AE40C4598C985FA43B.apk,
15C52213250ECBE4D72C6FEEB5B8B8F0704835EEFD9B6F935A96FC9FD79DCF0E.apk,33.0,com.abiss.roem,com.hive.UnityPlayerActivity,Yes,15c52213250ecbe4d72c6feeb5b8b8f0704835eefd9b6f935a96fc9fd79dcf0e,[],"['FAMILY', ' GAME_ROLE_PLAYING', ' GAME_CASUAL']",73,False,No,No,,
0BC167335F1F593ECD96CC06043241B2CBFD87D6F3DC511FABF9CE8C5B5F6B40.apk,33.0,barnasoba.chromatic,crc646a228f4b101699fb.MainActivity,Yes,0bc167335f1f593ecd96cc06043241b2cbfd87d6f3dc511fabf9ce8c5b5f6b40,"['crc64d42a9c94284d6219.RewardInterstitialService.jimple', 'crc64d42a9c94284d6219.MyAdBannerListener.jimple', 'crc64d42a9c94284d6219.RewardService.jimple', 'crc64d42a9c94284d6219.InterstitialService.jimple']","['FAMILY', ' TOOLS']",31,True,No,Yes,../Data/Application_Analysis/0BC167335F1F593ECD96CC06043241B2CBFD87D6F3DC511FABF9CE8C5B5F6B40.apk/signed0BC167335F1F593ECD96CC06043241B2CBFD87D6F3DC511FABF9CE8C5B5F6B40.apk,
07CD496037AE25FE132C0C4D7BD49742A8754AAC7D42839A96B62736054F6EB3.apk,32.0,com.seraphic.openinet.pre,com.seraphic.openinet.ui.main.MainActivity,Yes,07cd496037ae25fe132c0c4d7bd49742a8754aac7d42839a96b62736054f6eb3,[],"['FAMILY', ' ENTERTAINMENT']",15,False,No,Yes,../Data/Application_Analysis/07CD496037AE25FE132C0C4D7BD49742A8754AAC7D42839A96B62736054F6EB3.apk/signed07CD496037AE25FE132C0C4D7BD49742A8754AAC7D42839A96B62736054F6EB3.apk,
1694177A89D82C3AAA439440AA9E4E849648EB12013597DCF48BA9FCDE2447D6.apk,33.0,com.lomolsoft.language.learnkannada,com.lomolsoft.language.learnkannada.activity.WelActivity,Yes,1694177a89d82c3aaa439440aa9e4e849648eb12013597dcf48ba9fcde2447d6,[],"['FAMILY', ' EDUCATION']",45,False,No,Yes,../Data/Application_Analysis/1694177A89D82C3AAA439440AA9E4E849648EB12013597DCF48BA9FCDE2447D6.apk/signed1694177A89D82C3AAA439440AA9E4E849648EB12013597DCF48BA9FCDE2447D6.apk,
2E21E23EF46D9C4773EAEEF05749491C8E032C7F134EF6011A3D922A7DA693FE.apk,33.0,com.shanghaidaily.shine,com.shanghaidaily.shine.MainActivity,Yes,2e21e23ef46d9c4773eaeef05749491c8e032c7f134ef6011a3d922a7da693fe,[],"['FAMILY', ' NEWS_AND_MAGAZINES']",37,False,No,Yes,../Data/Application_Analysis/2E21E23EF46D9C4773EAEEF05749491C8E032C7F134EF6011A3D922A7DA693FE.apk/signed2E21E23EF46D9C4773EAEEF05749491C8E032C7F134EF6011A3D922A7DA693FE.apk,
2D1D76CAEF282E40AE76FCAD2FFA94BD18690ABD652E804A6562AE9020345109.apk,33.0,com.mkapps.virtualtrading,com.niotron.tmk_june.vt118_20231015.Screen1,Yes,2d1d76caef282e40ae76fcad2ffa94bd18690abd652e804a6562ae9020345109,['com.niotron.tmk_june.vt118_20231015.Screen1.jimple'],"['FAMILY', ' FINANCE']",10,True,No,Yes,../Data/Application_Analysis/2D1D76CAEF282E40AE76FCAD2FFA94BD18690ABD652E804A6562AE9020345109.apk/signed2D1D76CAEF282E40AE76FCAD2FFA94BD18690ABD652E804A6562AE9020345109.apk,
030E96078A1F51ECFDA52B45AE14BBB14DA688B71081CE54603BE3EC7CC09B87.apk,33.0,com.lomolsoft.language.learnczech,com.lomolsoft.language.learnczech.activity.WelActivity,Yes,030e96078a1f51ecfda52b45ae14bbb14da688b71081ce54603be3ec7cc09b87,[],"['FAMILY', ' EDUCATION']",39,False,No,Yes,../Data/Application_Analysis/030E96078A1F51ECFDA52B45AE14BBB14DA688B71081CE54603BE3EC7CC09B87.apk/signed030E96078A1F51ECFDA52B45AE14BBB14DA688B71081CE54603BE3EC7CC09B87.apk,
15F4DFFBBB9826762117802BC9225193EF0A474D327F89183ECBE7C5D2F9C90E.apk,34.0,com.workingbytes4u.machinist.helper.free,com.workingbytes4u.machinist.helper.free.main,Yes,15f4dffbbb9826762117802bc9225193ef0a474d327f89183ecbe7c5d2f9c90e,[],"['FAMILY', ' TOOLS']",3,False,No,Yes,../Data/Application_Analysis/15F4DFFBBB9826762117802BC9225193EF0A474D327F89183ECBE7C5D2F9C90E.apk/signed15F4DFFBBB9826762117802BC9225193EF0A474D327F89183ECBE7C5D2F9C90E.apk,
0311BF9C8362A953247EB62B081059C23437B5850AE413CAF0285C67A1CDD52E.apk,31.0,com.closeli.eyeplus,com.arcsoft.closeli.SplashActivity,Yes,0311bf9c8362a953247eb62b081059c23437b5850ae413caf0285c67a1cdd52e,[],"['FAMILY', ' TOOLS']",69,False,No,Yes,../Data/Application_Analysis/0311BF9C8362A953247EB62B081059C23437B5850AE413CAF0285C67A1CDD52E.apk/signed0311BF9C8362A953247EB62B081059C23437B5850AE413CAF0285C67A1CDD52E.apk,
1F986835F422708AAA5B8B051B83E6B1E555AA4C482F9DBAE5DF0F13B87D6F76.apk,31.0,com.htwig.luvmehair,com.htwig.luvmehair.app.ui.splash.SplashActivity,Yes,1f986835f422708aaa5b8b051b83e6b1e555aa4c482f9dbae5df0f13b87d6f76,[],"['FAMILY', ' BEAUTY']",22,False,No,Yes,../Data/Application_Analysis/1F986835F422708AAA5B8B051B83E6B1E555AA4C482F9DBAE5DF0F13B87D6F76.apk/signed1F986835F422708AAA5B8B051B83E6B1E555AA4C482F9DBAE5DF0F13B87D6F76.apk,
11E158E5C7D32666A753F0E69A8E546D9B44E83F0FF66DFDE0DD311A415D120F.apk,31.0,com.bet007.mobile.score.d,com.huaying.mobile.score.activity.main.SplashScreenActivity,Yes,11e158e5c7d32666a753f0e69a8e546d9b44e83f0ff66dfde0dd311a415d120f,[],"['FAMILY', ' SPORTS']",28,False,No,Yes,../Data/Application_Analysis/11E158E5C7D32666A753F0E69A8E546D9B44E83F0FF66DFDE0DD311A415D120F.apk/signed11E158E5C7D32666A753F0E69A8E546D9B44E83F0FF66DFDE0DD311A415D120F.apk,
2B7BE5D1025AE9F48D365BB191A31A526796B2BC1F85D2461B2F891470513351.apk,33.0,com.lomolsoft.language.learnarmenian,com.lomolsoft.language.learnarmenian.activity.WelActivity,Yes,2b7be5d1025ae9f48d365bb191a31a526796b2bc1f85d2461b2f891470513351,[],"['FAMILY', ' EDUCATION']",40,False,No,Yes,../Data/Application_Analysis/2B7BE5D1025AE9F48D365BB191A31A526796B2BC1F85D2461B2F891470513351.apk/signed2B7BE5D1025AE9F48D365BB191A31A526796B2BC1F85D2461B2F891470513351.apk,
02515B1154BD5D878E667D493DF346B4C39EA5C47D07F5C528625FC321F42F28.apk,31.0,com.closeli.eyeplus,com.arcsoft.closeli.SplashActivity,Yes,02515b1154bd5d878e667d493df346b4c39ea5c47d07f5c528625fc321f42f28,[],"['FAMILY', ' TOOLS']",84,False,No,Yes,../Data/Application_Analysis/02515B1154BD5D878E667D493DF346B4C39EA5C47D07F5C528625FC321F42F28.apk/signed02515B1154BD5D878E667D493DF346B4C39EA5C47D07F5C528625FC321F42F28.apk,
003483FF2A74BF9B2AA6CC20850DF8D0EA0EEDC16089E6B65159D692157E658C.apk,31.0,ct.canlidoviz,ct.canlidoviz.main,Yes,003483ff2a74bf9b2aa6cc20850df8d0ea0eedc16089e6b65159d692157e658c,"['anywheresoftware.b4a.admobwrapper.AdViewWrapper.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$InterstitialAdWrapper$1.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$1.jimple', 'ct.canlidoviz.adshelper$MyAddOpenAdCallback.jimple']","['FAMILY', ' FINANCE']",7,True,No,Yes,../Data/Application_Analysis/003483FF2A74BF9B2AA6CC20850DF8D0EA0EEDC16089E6B65159D692157E658C.apk/signed003483FF2A74BF9B2AA6CC20850DF8D0EA0EEDC16089E6B65159D692157E658C.apk,
2CDA9850E073E5212B28F569580C6DE667C8890751B0E0E43CADCF9297FE5B91.apk,31.0,com.elamie1.rakroid,com.elamie1.rakroid.main,Yes,2cda9850e073e5212b28f569580c6de667c8890751b0e0e43cadcf9297fe5b91,"['com.adivery.sdk.x.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper.jimple', 'com.elamie1.rakroid.adshelper$MyAddOpenAdCallback.jimple', 'com.adivery.sdk.s1$a.jimple', 'com.elamie1.rakroid.adshelper$MyRewardedInterstitialAdCallback.jimple', 'com.adivery.sdk.s1$g.jimple', 'com.adivery.sdk.s1$b.jimple', 'com.adivery.sdk.s1.jimple', 'com.adivery.sdk.s1$b$a.jimple', 'com.adivery.sdk.s1$d.jimple', 'com.adivery.sdk.s1$d$b.jimple', 'com.elamie1.rakroid.adshelper$MyRewardedAdCallback.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$InterstitialAdWrapper$1.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$1.jimple', 'com.adivery.sdk.s1$f.jimple', 'com.adivery.sdk.s1$a$a.jimple']","['FAMILY', ' ENTERTAINMENT']",12,True,No,No,,
124B59E0D0B52EB74D03B91D7D03DC90699702C5DA8D7AD7056A4A3B74F015FD.apk,31.0,shamimsoft.shamimyas,shamimsoft.shamimyas.main,Yes,124b59e0d0b52eb74d03b91d7d03dc90699702c5da8d7ad7056a4a3b74f015fd,[],"['FAMILY', ' PRODUCTIVITY']",6,False,No,No,,
153C729BD24862EB3A0FFD785344760DE34482153B83C0432970E425C5FD6399.apk,31.0,com.stardust.kissreader,com.stardust.kissreader.SplashActivity,Yes,153c729bd24862eb3a0ffd785344760de34482153b83c0432970e425c5fd6399,[],"['FAMILY', ' BOOKS_AND_REFERENCE']",34,False,No,Yes,../Data/Application_Analysis/153C729BD24862EB3A0FFD785344760DE34482153B83C0432970E425C5FD6399.apk/signed153C729BD24862EB3A0FFD785344760DE34482153B83C0432970E425C5FD6399.apk,
15BE8128AF75CEDA8F9E8A10CC27750D11BE264D5B075FEA13658E3A41A5CE12.apk,23.0,com.kwai.video,com.yxcorp.gifshow.HomeActivity,Yes,15be8128af75ceda8f9e8a10cc27750d11be264d5b075fea13658e3a41a5ce12,['com.yxcorp.gifshow.activity.UserInfoEditActivity.jimple'],"['FAMILY', ' VIDEO_PLAYERS']",28,True,No,No,,
27948DE94F5099EBE68C6BCF30E5A46FF178084B195D5497AF31501E33163374.apk,32.0,com.seraphic.openinet.pre,com.seraphic.openinet.ui.main.MainActivity,Yes,27948de94f5099ebe68c6bcf30e5a46ff178084b195d5497af31501e33163374,[],"['FAMILY', ' ENTERTAINMENT']",15,False,No,Yes,../Data/Application_Analysis/27948DE94F5099EBE68C6BCF30E5A46FF178084B195D5497AF31501E33163374.apk/signed27948DE94F5099EBE68C6BCF30E5A46FF178084B195D5497AF31501E33163374.apk,
