App_Name,Google_Play_Name,App_Category,Main_Activity,Main_Class,URL,App_Ads,SHA256,SDK_Build_Version,MADScanner_Injected_Logs_Sucessfully,Able_To_Install,Able_To_Instrument
Roblox_2.568.524_Apkpure.apk,Roblox,"FAMILY, FAMILY, GAME_SIMULATION, GAME_CASUAL",com.roblox.client.startup.ActivitySplash,com.roblox.client,https://play.google.com/store/apps/details?id=com.roblox.client,No,211d393be9ac61a7337c1002ba238c3e50186fff9723d808ee8744cab3cf15e2,31,,,
AudiomackMusicDownloader6.25.4Apkpure.apk,Audiomack: Music Downloader,"FAMILY, FAMILY, MUSIC_AND_AUDIO",com.audiomack.ui.splash.SplashActivity,com.audiomack,https://play.google.com/store/apps/details?id=com.audiomack,Yes,a070a78a18adc558d7f3a279a12d3f44a6012fe1cbe7db83aa04dd24a66d261d,33,,,
GooglePaySaveandPay181.1.3arm64-v8areleaseflutterApkpure.apk,Google Pay: Save and Pay,"FAMILY, FAMILY, FINANCE",com.google.nbu.paisa.flutter.gpay.app.LauncherActivity,com.google.android.apps.nbu.paisa.user,https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user,No,9b340d434ced1bd5687a8c6d2f77c34480b382b2ee9383100af0fcc84aaa0e5d,34,,,
GoogleTranslate7.6.30.538653321.1-releaseApkpure.apk,Google Translate,"FAMILY, FAMILY, TOOLS",com.google.android.apps.translate.TranslateActivity,com.google.android.apps.translate,https://play.google.com/store/apps/details?id=com.google.android.apps.translate,No,4196f5123fe29fde6116d767f2286303d9526b5e161fd5ada69a699233894e4e,34,,,
WebComics-WebtoonManga3.1.91Apkpure.apk,WebComics - Webtoon & Manga,"FAMILY, FAMILY, COMICS",com.webcomics.manga.main.SplashActivity,com.webcomics.manga,https://play.google.com/store/apps/details?id=com.webcomics.manga,Yes,20348887e8a6f898b828e06c97f2515afbaa55ebd4dab550d81309d27eb75f7c,32,,,
YouCamMakeup-SelfieEditor6.10.1Apkpure.apk,YouCam Makeup - Selfie Editor,"FAMILY, FAMILY, PHOTOGRAPHY",com.cyberlink.youcammakeup.activity.SplashActivity,com.cyberlink.youcammakeup,https://play.google.com/store/apps/details?id=com.cyberlink.youcammakeup,Yes,3d048d40c9bb5f536acb6395350502b31eede8a24966b1ce1c04cc189106d14e,31,,,
LaneLibrariesMobileApp2022.1.6Apkpure.apk,Lane Libraries Mobile App,"FAMILY, FAMILY, LIFESTYLE",solus.Libraries.MainActivity,us.sol.LaneLibraries,https://play.google.com/store/apps/details?id=us.sol.LaneLibraries,No,c5ab82199785347510edfd8c824183b9efb2c5fa6eb9a798e3413fab03f7cb34,32,,,
Turo-Findyourdrive23.23.2Apkpure.apk,Turo - Find your drive,"FAMILY, FAMILY, TRAVEL_AND_LOCAL",com.turo.home.home.presentation.HomeActivity,com.relayrides.android.relayrides,https://play.google.com/store/apps/details?id=com.relayrides.android.relayrides,No,954ac13f9995dbc4c694a43fe73b7baa347026440afe04de7f1cdf5b1df7d46f,33,,,
BooksyforCustomers2.10.2354Apkpure.apk,Booksy for Customers,"FAMILY, FAMILY, BEAUTY",net.booksy.customer.SplashActivity,net.booksy.customer,https://play.google.com/store/apps/details?id=net.booksy.customer,No,5ec3556eb8efd7f46f5e4cd397d4dea0fac560d0ac57b924f86d36a8c59f515d,33,,,
Starfall3.1.66Apkpure.apk,Starfall,"FAMILY, FAMILY, EDUCATION",air.com.starfall.more.AIRAppEntry,air.com.starfall.more,https://play.google.com/store/apps/details?id=air.com.starfall.more,No,906cd442ad059cb2529dfac57e672dcf63bc04b96b0d70da6df1c66a94e19709,33,,,
