App_Name,Jimple_Classes,Number_Of_Items
d5e6ebb9c640a6c2c9bf64c4e6d61d046c9abe45b3b6661b4fd670385f53e4e4,"['y5.p1.jimple', 'com.autolist.autolist.ads.AutolistAd$bidEventConfiguration$1.jimple', 'androidx.appcompat.widget.k.jimple', 'com.autolist.autolist.ads.AutolistAd$BidEventConfiguration.jimple', 'com.autolist.autolist.ads.PreLoadAd.jimple', 'com.autolist.autolist.ads.AutolistAd.jimple', 'com.autolist.autolist.ads.PreLoadAd$bidEventConfiguration$1.jimple', 'com.autolist.autolist.vdp.imagegallery.ImageGalleryAdapter.jimple', 'com.autolist.autolist.fragments.VdpFragment.jimple', 'com.pubmatic.sdk.openwrap.banner.b.jimple', 'com.autolist.autolist.adapters.vehiclelist.BaseVehicleAdapter.jimple', 'com.autolist.autolist.ads.AdUtils.jimple', 'com.autolist.autolist.ads.StaticAdObserver.jimple', 'com.autolist.autolist.vdp.imagegallery.ImageGalleryAdapter$createAdBindListener$1.jimple']",14
38589b4695d96465c413d4da9436bb0bd4bd2f828e6fe93d2c41f629b7d1791e,"['com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper$loadAd$customFormatCallbacks$1$onCustomClick$2$1.jimple', 'com.airbnb.epoxy.preload.EpoxyPreloader.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper$loadAd$customFormatCallbacks$1.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper.jimple', 'com.okcupid.okcupid.ui.doubletake.DoubleTakeViewModel.jimple', 'com.apollographql.apollo3.api.Adapters.jimple', 'com.apollographql.apollo3.api.CustomScalarAdapters.jimple', 'com.apollographql.apollo3.api.Adapters$UploadAdapter$1.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader$AdLoaderWrapper$loadAd$1$2.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.GoogleNativeAdLoader.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.NativeAdManagerImplementation.jimple', 'com.okcupid.okcupid.ui.stacks.nativeads.NativeAdManager.jimple']",12
abf86ca642dd75bff1f9df756cccf851cea157a438157816c0ad665a79f5d26c,"['com.applovin.mediation.nativeAds.adPlacer.MaxAdPlacer.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarInterstitialAd.jimple', 'com.unity3d.scar.adapter.v2100.ScarAdapter$2.jimple', 'com.applovin.impl.mediation.g$17.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarInterstitialAd.jimple', 'com.applovin.impl.sdk.nativeAd.AppLovinNativeAdImpl$a.jimple', 'com.ironsource.mediationsdk.adunit.d.a.c.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarRewardedAd.jimple', 'com.applovin.mediation.adapter.MaxAdViewAdapter.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarAdBase.jimple', 'com.vungle.warren.AdLoader$Operation.jimple', 'com.vungle.warren.error.VungleException.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarAdBase.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarRewardedAd.jimple', 'com.applovin.mediation.adapters.AppLovinMediationAdapter.jimple', 'com.applovin.impl.mediation.nativeAds.a.b.jimple', 'com.applovin.impl.mediation.ads.MaxNativeAdLoaderImpl.jimple', 'com.vungle.warren.VungleBanner$1.jimple', 'com.unity3d.scar.adapter.v1950.ScarAdapter$1.jimple', 'com.applovin.mediation.ads.MaxRewardedInterstitialAd.jimple', 'com.unity3d.scar.adapter.v1920.ScarAdapter$2.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl.jimple', 'com.unity3d.scar.adapter.v1920.ScarAdapter$1.jimple', 'com.applovin.impl.mediation.MediationServiceImpl.jimple', 'com.unity3d.scar.adapter.v2100.ScarAdapter$1.jimple', 'com.vungle.warren.VungleBanner$2.jimple', 'com.ironsource.adapters.vungle.VungleAdapter.jimple', 'com.applovin.mediation.nativeAds.MaxNativeAdLoader.jimple', 'com.ironsource.sdk.IronSourceNetwork.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$2.jimple', 'com.unity3d.scar.adapter.common.scarads.IScarAd.jimple', 'com.applovin.impl.sdk.array.ArrayDirectDownloadAd.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarAdBase.jimple', 'com.applovin.impl.mediation.debugger.a.a.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$b$4$1.jimple', 'com.unity3d.scar.adapter.v2000.ScarAdapter$2.jimple', 'com.ironsource.adapters.admob.AdMobAdapter$6.jimple', 'com.applovin.mediation.ads.MaxRewardedAd.jimple', 'com.ironsource.mediationsdk.R.jimple', 'com.applovin.impl.mediation.debugger.ui.a.a.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarInterstitialAd.jimple', 'com.vungle.warren.downloader.AssetDownloader.jimple', 'com.ironsource.adapters.ironsource.IronSourceAdapter.jimple', 'com.vungle.warren.LoadNativeAdCallbackWrapper.jimple', 'com.applovin.mediation.ads.MaxInterstitialAd.jimple', 'com.ironsource.sdk.d.b.jimple', 'com.vungle.warren.AdLoader$5.jimple', 'com.vungle.warren.Banners.jimple', 'com.vungle.warren.Vungle.jimple', 'com.ironsource.adapters.facebook.FacebookAdapter$5.jimple', 'com.vungle.warren.downloader.AssetDownloader$3.jimple', 'com.applovin.mediation.ads.MaxAppOpenAd.jimple', 'com.vungle.warren.LoadAdCallbackWrapper.jimple', 'com.applovin.impl.sdk.AppLovinAdBase.jimple', 'com.applovin.impl.sdk.array.ArrayService.jimple', 'com.vungle.warren.AdLoader$5$3.jimple', 'com.applovin.impl.mediation.debugger.ui.testmode.a.jimple', 'com.vungle.warren.downloader.CleverCache.jimple', 'com.ironsource.adapters.facebook.FacebookAdapter$1.jimple', 'com.vungle.warren.AdLoader$6$3.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarRewardedAd.jimple', 'com.applovin.impl.sdk.AppLovinAdServiceImpl.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarAdBase.jimple', 'com.vungle.warren.downloader.AssetDownloader$1.jimple', 'com.ironsource.adapters.admob.AdMobBannerAdListener.jimple', 'com.unity3d.scar.adapter.v2000.ScarAdapter$1.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl.jimple', 'com.bumptech.glide.ListPreloader.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarInterstitialAd.jimple', 'com.ironsource.adapters.admob.AdMobAdapter.jimple', 'com.ironsource.mediationsdk.adunit.adapter.internal.BaseAdAdapter.jimple', 'com.tapjoy.TapjoyGpsHelper.jimple', 'com.applovin.mediation.ads.MaxAdView.jimple', 'com.vungle.warren.NativeAd.jimple', 'com.vungle.warren.AdLoader.jimple', 'com.vungle.warren.VungleBanner.jimple', 'com.tapjoy.TapjoyConnectCore.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl$1.jimple', 'com.unity3d.scar.adapter.v1950.ScarAdapter$2.jimple', 'com.ironsource.adapters.facebook.FacebookAdapter$3.jimple', 'com.applovin.mediation.nativeAds.adPlacer.MaxRecyclerAdapter.jimple', 'com.vungle.warren.AdEventListener.jimple', 'com.applovin.impl.sdk.utils.c.jimple']",84
f45949e07bc66c6a5a345250b0da89a382ae7bf4ff1db26c923a99df25359ef7,"['com.applovin.mediation.adapters.UnityAdsMediationAdapter.jimple', 'com.applovin.mediation.adapters.GoogleAdManagerMediationAdapter.jimple', 'csdk.gluads.eventbus.GluAdsManagerEventHandler.jimple', 'com.applovin.mediation.nativeAds.adPlacer.MaxAdPlacer.jimple', 'com.fyber.marketplace.fairbid.impl.g.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarInterstitialAd.jimple', 'com.unity3d.scar.adapter.v2100.ScarAdapter$2.jimple', 'com.applovin.impl.mediation.g$17.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarRewardedAd.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarInterstitialAd.jimple', 'com.fyber.marketplace.fairbid.impl.e.jimple', 'com.applovin.impl.sdk.nativeAd.AppLovinNativeAdImpl$a.jimple', 'com.ironsource.mediationsdk.adunit.d.a.c.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarRewardedAd.jimple', 'com.applovin.mediation.adapter.MaxAdViewAdapter.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarAdBase.jimple', 'com.vungle.warren.AdLoader$Operation.jimple', 'com.vungle.warren.error.VungleException.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarAdBase.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarRewardedAd.jimple', 'com.applovin.mediation.adapters.AppLovinMediationAdapter.jimple', 'com.applovin.impl.mediation.nativeAds.a.b.jimple', 'com.applovin.impl.mediation.ads.MaxNativeAdLoaderImpl.jimple', 'com.vungle.warren.VungleBanner$1.jimple', 'com.unity3d.scar.adapter.v1950.ScarAdapter$1.jimple', 'com.applovin.mediation.ads.MaxRewardedInterstitialAd.jimple', 'com.unity3d.scar.adapter.v1920.ScarAdapter$2.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl.jimple', 'com.unity3d.scar.adapter.v1920.ScarAdapter$1.jimple', 'com.fyber.inneractive.sdk.dv.banner.a.jimple', 'com.applovin.impl.mediation.MediationServiceImpl.jimple', 'com.unity3d.scar.adapter.v2100.ScarAdapter$1.jimple', 'com.applovin.mediation.adapters.VungleMediationAdapter.jimple', 'com.vungle.warren.VungleBanner$2.jimple', 'com.ironsource.adapters.vungle.VungleAdapter.jimple', 'com.applovin.mediation.nativeAds.MaxNativeAdLoader.jimple', 'com.ironsource.sdk.IronSourceNetwork.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$2.jimple', 'com.unity3d.scar.adapter.common.scarads.IScarAd.jimple', 'com.fyber.inneractive.sdk.external.InneractiveAdSpot.jimple', 'com.safedk.android.analytics.brandsafety.creatives.discoveries.f.jimple', 'com.applovin.impl.sdk.array.ArrayDirectDownloadAd.jimple', 'com.mbridge.msdk.out.Adapter.jimple', 'com.ironsource.adapters.fyber.FyberAdapter$2.jimple', 'com.unity3d.scar.adapter.v2000.scarads.ScarAdBase.jimple', 'com.applovin.impl.mediation.debugger.a.a.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$b$4$1.jimple', 'com.mbridge.msdk.mbsignalcommon.b.a.jimple', 'com.unity3d.scar.adapter.v2000.ScarAdapter$2.jimple', 'com.ironsource.adapters.admob.AdMobAdapter$6.jimple', 'com.applovin.mediation.ads.MaxRewardedAd.jimple', 'com.ironsource.mediationsdk.R.jimple', 'com.applovin.impl.mediation.debugger.ui.a.a.jimple', 'com.applovin.mediation.adapters.NimbusMediationAdapter.jimple', 'com.unity3d.scar.adapter.v1950.scarads.ScarInterstitialAd.jimple', 'com.vungle.warren.downloader.AssetDownloader.jimple', 'com.ironsource.adapters.ironsource.IronSourceAdapter.jimple', 'com.vungle.warren.LoadNativeAdCallbackWrapper.jimple', 'com.applovin.mediation.ads.MaxInterstitialAd.jimple', 'com.ironsource.sdk.d.b.jimple', 'com.vungle.warren.AdLoader$5.jimple', 'com.vungle.warren.Banners.jimple', 'com.vungle.warren.Vungle.jimple', 'com.fyber.inneractive.sdk.flow.r.jimple', 'com.ironsource.adapters.facebook.FacebookAdapter$5.jimple', 'com.vungle.warren.downloader.AssetDownloader$3.jimple', 'com.applovin.mediation.ads.MaxAppOpenAd.jimple', 'com.vungle.warren.LoadAdCallbackWrapper.jimple', 'com.ironsource.adapters.fyber.FyberAdapter$6.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter.jimple', 'com.applovin.mediation.adapters.FacebookMediationAdapter.jimple', 'com.applovin.impl.sdk.AppLovinAdBase.jimple', 'com.applovin.impl.sdk.array.ArrayService.jimple', 'com.applovin.mediation.adapters.IronSourceMediationAdapter.jimple', 'com.ironsource.adapters.fyber.FyberAdapter$4.jimple', 'com.vungle.warren.AdLoader$5$3.jimple', 'csdk.gluads.max.EAMaxRVManager.jimple', 'com.applovin.mediation.adapters.MintegralMediationAdapter.jimple', 'com.applovin.impl.mediation.debugger.ui.testmode.a.jimple', 'com.vungle.warren.downloader.CleverCache.jimple', 'com.ironsource.adapters.facebook.FacebookAdapter$1.jimple', 'com.vungle.warren.AdLoader$6$3.jimple', 'com.unity3d.scar.adapter.v2100.scarads.ScarRewardedAd.jimple', 'com.applovin.impl.sdk.AppLovinAdServiceImpl.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarAdBase.jimple', 'com.vungle.warren.downloader.AssetDownloader$1.jimple', 'com.ironsource.adapters.admob.AdMobBannerAdListener.jimple', 'com.unity3d.scar.adapter.v2000.ScarAdapter$1.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl.jimple', 'com.fyber.inneractive.sdk.dv.interstitial.c.jimple', 'com.unity3d.scar.adapter.v1920.scarads.ScarInterstitialAd.jimple', 'com.ironsource.adapters.admob.AdMobAdapter.jimple', 'com.ironsource.mediationsdk.adunit.adapter.internal.BaseAdAdapter.jimple', 'com.tapjoy.TapjoyGpsHelper.jimple', 'com.applovin.mediation.ads.MaxAdView.jimple', 'com.fyber.marketplace.fairbid.impl.a.jimple', 'com.vungle.warren.NativeAd.jimple', 'com.fyber.marketplace.fairbid.impl.d.jimple', 'com.vungle.warren.AdLoader.jimple', 'com.vungle.warren.VungleBanner.jimple', 'com.tapjoy.TapjoyConnectCore.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl$1.jimple', 'csdk.gluads.max.EAMaxInterstitialManager.jimple', 'com.applovin.mediation.adapters.InneractiveMediationAdapter.jimple', 'com.unity3d.scar.adapter.v1950.ScarAdapter$2.jimple', 'com.ironsource.adapters.facebook.FacebookAdapter$3.jimple', 'com.applovin.mediation.nativeAds.adPlacer.MaxRecyclerAdapter.jimple', 'com.fyber.inneractive.sdk.dv.rewarded.b.jimple', 'com.vungle.warren.AdEventListener.jimple', 'com.applovin.impl.sdk.utils.c.jimple']",110
9ccf78d18f17eab959b73d275e71487fe79d1228dfba12a1b4dbee8e340153fe,"['com.weather.privacy.jsbridge.io.SetConsentOutboundSuccessMessageJsonAdapter.jimple', 'com.weather.privacy.jsbridge.io.ActionExecutionExceptionOutboundMessageJsonAdapter.jimple', 'com.mopub.nativeads.MoPubRecyclerAdapter.jimple', 'com.mopub.nativeads.MoPubAdAdapter.jimple', 'com.weather.privacy.jsbridge.io.SetConsentActionMessageJsonAdapter.jimple', 'com.mopub.nativeads.MoPubCustomEventVideoNative$MoPubVideoNativeAd.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$NativeAdLoader$mDgbMAi9XCGyRVvuqjENuNiBS-w.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$NativeAdLoader$A2v_ZL7sQpvk9drYvypV4pT6g8w.jimple', 'com.wunderground.android.weather.ads.refresh.AdsLoadingController.jimple', 'com.mopub.mobileads.dfp.adapters.MoPubAdapter.jimple', 'com.weather.privacy.jsbridge.io.SetConsentOutboundFailureMessageJsonAdapter.jimple', 'com.wunderground.android.weather.ads.refresh.NativeAdLoader.jimple', 'com.mopub.mobileads.AdViewController.jimple', 'com.weather.privacy.jsbridge.io.AuthenticateOutboundFailureMessageJsonAdapter.jimple', 'com.mopub.nativeads.MoPubCustomEventNative.jimple', 'com.weather.privacy.jsbridge.io.DriveToViewActionMessageJsonAdapter.jimple', 'com.mopub.mobileads.MoPubInterstitial.jimple', 'com.weather.privacy.jsbridge.io.PopupActionMessageJsonAdapter.jimple', 'com.weather.privacy.jsbridge.io.PopupOutboundFailureMessageJsonAdapter.jimple', 'com.weather.privacy.jsbridge.io.DriveToViewOutboundSuccessMessageJsonAdapter.jimple', 'com.mopub.mobileads.dfp.adapters.MoPubAdapter$3.jimple', 'com.weather.privacy.jsbridge.io.AuthenticateOutboundSuccessMessageJsonAdapter.jimple', 'com.mopub.nativeads.MoPubStreamAdPlacer.jimple', 'com.wunderground.android.weather.ads.refresh.BannerAdLoader.jimple', 'com.weather.privacy.jsbridge.io.DeleteOutboundSuccessMessageJsonAdapter.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$AdsLoadingController$9qeS4S5RnfgfE2_cWTvwsvDD4xk.jimple', 'com.wunderground.android.weather.ads.refresh.AmazonDataLoader.jimple', 'com.mopub.mobileads.CustomEventBannerAdapter.jimple', 'com.mopub.nativeads.MoPubCustomEventVideoNative.jimple', 'com.amazon.device.ads.DTBAdRequest.jimple', 'com.weather.privacy.jsbridge.io.PopupOutboundSuccessMessageJsonAdapter.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$NativeAdLoader$_-WNlBtrXfvwHEJPcCgYFjzXNNA.jimple', 'com.mopub.mobileads.MoPubView.jimple', 'com.mopub.nativeads.MoPubCustomEventNative$MoPubStaticNativeAd.jimple', 'com.weather.privacy.jsbridge.io.InvalidActionOutboundMessageJsonAdapter.jimple', 'com.wunderground.android.weather.ads.refresh.-$$Lambda$AdsLoadingController$QqVdTVuVSqjtKpf9HhbIvLY2s7A.jimple', 'com.weather.privacy.jsbridge.io.AuthenticateActionMessageJsonAdapter.jimple', 'com.wunderground.android.weather.ads.refresh.AdLoader.jimple', 'com.weather.privacy.jsbridge.io.DeleteOutboundFailureMessageJsonAdapter.jimple', 'com.mopub.nativeads.NativeAdSource.jimple']",40
7279d408e617c7e9eea64a15a25b754687ca882d00b65309e716f1b99785184a,"['com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment$MediaDownloadAdapter-IA.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment$MediaDownloadAdapter$$ExternalSyntheticLambda0.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment$MediaDownloadAdapter$$ExternalSyntheticLambda1.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment$MediaDownloadAdapter$ViewHolder.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment$MediaDownloadAdapter$ViewHolder-IA.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment$MediaDownloadAdapter.jimple', 'com.logos.commonlogos.resourceinfo.view.MediaDownloadsFragment.jimple']",7
6e5ba47c50486f34fa1b8070e89a8f99194f97a5b97b64eca3ecfbed8724c539,"['com.zillow.android.webservices.api.adapter.protobuf.PropertyImageUploadAdapter.jimple', 'com.zillow.android.re.ui.contactform.repository.ContactFormConfigJsonAdapter.jimple', 'com.apollographql.apollo3.api.Adapters.jimple', 'com.apollographql.apollo3.api.CustomScalarAdapters.jimple', 'com.zillow.android.webservices.retrofit.property.RetrofitPropertyImageApi.jimple', 'io.radar.sdk.Radar.jimple', 'com.apollographql.apollo3.api.Adapters$UploadAdapter$1.jimple', 'io.radar.sdk.RadarUtils.jimple', 'com.adjust.sdk.MacAddressUtil.jimple', 'com.zillow.android.feature.ads.view.DFPAdBase.jimple']",10
15efb6f40b69f3fc9c53c94dca8198f4707e1a6366be8cf141d90060c599f756,"['e1.b.jimple', 'g1.v.jimple', 'f1.c.jimple', 'n1.a3.jimple', 'f1.b.jimple', 'f1.a.jimple']",6
5b4f30ffb919927f5d66297571fb43fd2e3fa8991677d736a65639b792c47607,"['com.tmg.ads.mediator.applovin.internal.BannerListenerOnSubscribe.jimple', 'com.applovin.mediation.nativeAds.adPlacer.MaxAdPlacer.jimple', 'com.applovin.impl.mediation.g$17.jimple', 'com.applovin.impl.sdk.nativeAd.AppLovinNativeAdImpl$a.jimple', 'com.pof.android.meetmeads.domain.LoadMeetMeAdUseCase$loadAd$1.jimple', 'com.applovin.mediation.adapter.MaxAdViewAdapter.jimple', 'com.applovin.mediation.adapters.AppLovinMediationAdapter.jimple', 'com.applovin.impl.mediation.nativeAds.a.b.jimple', 'com.applovin.impl.mediation.ads.MaxNativeAdLoaderImpl.jimple', 'com.applovin.mediation.ads.MaxRewardedInterstitialAd.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl.jimple', 'com.applovin.impl.mediation.MediationServiceImpl.jimple', 'com.tmg.ads.mediator.applovin.internal.reward.EmittingLoadListener.jimple', 'com.applovin.mediation.nativeAds.MaxNativeAdLoader.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$2.jimple', 'com.tmg.ads.mediator.applovin.internal.reward.RewardListenerOnSubscribe.jimple', 'com.applovin.impl.sdk.array.ArrayDirectDownloadAd.jimple', 'com.pof.android.ads.adsnative.domain.LoadGoogleNativeAdUseCase$loadAd$1.jimple', 'com.applovin.impl.mediation.debugger.a.a.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$b$4$1.jimple', 'com.pof.android.ads.adsnative.data.GoogleNativeAdRemoteDataSource.jimple', 'com.applovin.mediation.ads.MaxRewardedAd.jimple', 'com.applovin.impl.mediation.debugger.ui.a.a.jimple', 'com.applovin.mediation.ads.MaxInterstitialAd.jimple', 'com.applovin.mediation.ads.MaxAppOpenAd.jimple', 'com.applovin.impl.sdk.AppLovinAdBase.jimple', 'com.applovin.impl.sdk.array.ArrayService.jimple', 'com.applovin.impl.mediation.debugger.ui.testmode.a.jimple', 'com.applovin.impl.sdk.AppLovinAdServiceImpl.jimple', 'com.pof.android.meetmeads.domain.LoadMeetMeAdUseCase.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl.jimple', 'com.applovin.mediation.ads.MaxAdView.jimple', 'com.pof.android.ads.BannerAdHelper.jimple', 'com.pof.android.ads.adsnative.domain.LoadGoogleNativeAdUseCase.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl$1.jimple', 'com.applovin.mediation.nativeAds.adPlacer.MaxRecyclerAdapter.jimple', 'com.applovin.impl.sdk.utils.c.jimple']",37
58fabeeb12709d59771e982dc385c65d7dd203ec185e8e54645c9c7ac1cd3368,"['com.applovin.mediation.nativeAds.adPlacer.MaxAdPlacer.jimple', 'com.hily.app.main.MainActivity.jimple', 'com.applovin.mediation.adapter.MaxAdViewAdapter.jimple', 'com.applovin.impl.sdk.nativeAd.AppLovinNativeAdImpl.jimple', 'com.hily.app.main.MainViewModel$loadAdsSettings$1.jimple', 'com.applovin.mediation.adapters.AppLovinMediationAdapter.jimple', 'com.applovin.impl.mediation.nativeAds.a.b.jimple', 'com.hily.app.ads.applovin.ApplovinAdsHelper.jimple', 'com.applovin.impl.mediation.ads.MaxNativeAdLoaderImpl.jimple', 'com.applovin.mediation.ads.MaxRewardedInterstitialAd.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl.jimple', 'com.applovin.impl.mediation.MediationServiceImpl.jimple', 'com.applovin.mediation.nativeAds.MaxNativeAdLoader.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$2.jimple', 'com.applovin.impl.mediation.i$17.jimple', 'com.applovin.impl.sdk.array.ArrayDirectDownloadAd.jimple', 'com.hily.app.presentation.ui.routing.MainRouter.jimple', 'com.hily.app.navigation.ScreenOnStartObserver.jimple', 'com.applovin.impl.mediation.debugger.a.a.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl$b$4$1.jimple', 'com.hily.app.presentation.ui.activities.FragmentContainerActivity.jimple', 'com.applovin.mediation.ads.MaxRewardedAd.jimple', 'com.applovin.impl.mediation.debugger.ui.a.a.jimple', 'com.applovin.mediation.adapters.NimbusMediationAdapter.jimple', 'com.hily.app.data.util.ads.AdsResponseParser.jimple', 'com.applovin.mediation.ads.MaxInterstitialAd.jimple', 'com.hily.app.finder.scrollablefinder.card.ScrollableFinderNativeAdsCardView.jimple', 'com.applovin.mediation.ads.MaxAppOpenAd.jimple', 'com.applovin.mediation.adapters.GoogleMediationAdapter.jimple', 'com.applovin.mediation.adapters.FacebookMediationAdapter.jimple', 'com.applovin.impl.sdk.AppLovinAdBase.jimple', 'com.applovin.impl.sdk.array.ArrayService.jimple', 'com.applovin.impl.mediation.debugger.ui.testmode.a.jimple', 'com.applovin.impl.sdk.AppLovinAdServiceImpl.jimple', 'com.hily.app.main.MainViewModel$loadAdsSettings$1$onSuccess$1$parser$1.jimple', 'com.hily.app.finder.fullscreen.FullScreenFinderFragment$initForViewModel$3.jimple', 'com.applovin.impl.mediation.ads.MaxFullscreenAdImpl.jimple', 'com.hily.app.presentation.ui.fragments.dialog.DialogV2Fragment$subscribeUi$8.jimple', 'com.applovin.mediation.ads.MaxAdView.jimple', 'com.hily.app.main.MainViewModel$loadAdsSettings$1$onSuccess$1.jimple', 'com.applovin.impl.mediation.ads.MaxAdViewImpl$1.jimple', 'com.applovin.mediation.nativeAds.adPlacer.MaxRecyclerAdapter.jimple', 'com.applovin.impl.sdk.utils.c.jimple']",43
